ID,requirements_text,CTL,Pattern
1,AWID must remain stable when AWVALID is asserted and AWREADY is low.,AG(AWVALID & !AWREADY) -> stable(AWID)),Pattern 4.1: Universality - Globally
2,A value of X on AWID is not permitted when AWVALID is high.,AG(AWVALID -> (AWID != X)),Pattern 4.1: Universality - Globally
3,AWADDR remains stable when AWVALID is asserted and AWREADY is low.,AG(AWVALID & !AWREADY -> stable(AWADDR)),Pattern 4.1: Universality - Globally
4,A value of X on AWADDR is not permitted when AWVALID is high.,AG(AWVALID  -> (AWADDR != X)),Pattern 4.1: Universality - Globally
5,AWLEN remains stable when AWVALID is asserted and AWREADY is low.,AG(AWVALID & !AWREADY -> stable(AWLEN)),Pattern 4.1: Universality - Globally
6,"If A is true, B won’t reset.",AG((A) -> !X(!B)),Pattern 6.1: Response - Globally
7,A value of X on AWVALID is not permitted when not in reset.,AG(!reset -> (AWVALID != X)),Pattern 4.1: Universality - Globally
8,AWVALID is low for the first cycle after ARESETn goes high.,AF(ARESETn -> AX(! AWVALID)),Pattern 6.1: Response - Globally
9,AWREADY is asserted within MAXWAITS cycles of AWVALID being asserted.,AG(AWVALID -> (E(! AWREADY U AWREADY))),combination of 6.1 and 3.1
10,CSYSREQ is only permitted to change from HIGH to LOW when CSYSACK is high.,AG(!(CSYSACK) -> !((CSYSREQ) & X(!CSYSREQ))),Pattern 4.1: Universality - Globally
11,"When not in reset, a value of X on ACREADY is not permitted.",AG(!reset -> (ACREADY != X)),Pattern 4.1: Universality - Globally
12,ARCACHE[1] should not have a value of X when not in reset.,AG(!reset -> (ARCACHE[1] != X)),Pattern 4.1: Universality - Globally
13,Signal ARDOMAIN must be greater than or equal to 1.,AG(ARDOMAIN >= 1),Pattern 4.1: Universality - Globally
14,The AWPROT signal must be less than or equal to 1.,AG(AWPROT <= 1),Pattern 4.1: Universality - Globally
15,A value of X on AWSNOOP is not permitted when not in reset.,AG(!reset -> (AWSNOOP != X)),Pattern 4.1: Universality - Globally
16,If ACADDR is high then AWREADY is asserted.,AG(ACADDR -> AWREADY),Pattern 4.1: Universality - Globally
17,ACADDR is low for the first cycle after AWREADY goes high.,AG(AWREADY -> X(! ACADDR)),Pattern 6.1: Response - Globally
18,"After AWSNOOP goes high, ARCACHE[3:2] will be low for the first cycle.",AG(AWSNOOP -> X(! ARCACHE[3:2])),Pattern 6.1: Response - Globally
19,ACADDR is asserted within MAXWAITS cycles of AWREADY being asserted.,AG(AWREADY -> AF(ACADDR & (AX(!ACADDR) U AX(ACADDR)))),Pattern 6.1: Response - Globally
20,ACVALID may not have a value of X when ARESETn is high.,AG(ARESETn -> AX(ACVALID != X)),Pattern 1.5: Absence - After Q until R
21,When ARPOOT is high and ACSNOOP is low then AWSIZE is also low.,AG((ARPOOT & !ACSNOOP) -> (!AWSIZE)),Pattern 4.1: Universality - Globally
22,ACADDR remains stable when ARPOOT is asserted and ACSNOOP is low.,AG((ARPOOT & !ACSNOOP) -> stable(ACADDR)),Pattern 4.1: Universality - Globally
23,"When ACADDR is high, ARESETn is low, and AWPROT is high, then ARESETn is asserted in the next cycle.",AG((ACADDR & !ARESETn & AWPROT) -> AX(ARESETn)),Pattern 6.1: Response - Globally
24,When AWSNOOP is asserted then it remains high until ARDOMAIN is high.,AG(AWSNOOP -> (stable(AWSNOOP) U ARDOMAIN)),Pattern 6.1: Response - Globally
25,CSYSACK is only permitted to change from LOW to HIGH when CSYSREQ is high.,AG((!CSYSACK & X(CSYSACK)) -> AF(CSYSREQ)),Pattern 6.1: Response - Globally
26,AWPROT remains stable when AWVALID is asserted and AWCACHE is high and AWREADY is low.,AG((AWVALID & AWCACHE > 1 & !AWREADY) -> stable(AWPROT)),Pattern 4.1: Universality - Globally
27,A value of X AWCACHE is not permitted when AWID is high and AWCACHE is low.,AG((AWID & !AWCACHE) -> (AWCACHE != X)),Pattern 4.1: Universality - Globally
28,A value of X on AWCACHE is not permitted when AWID is high and AWVALID is low.,AG((AWID & !AWVALID) -> (AWCACHE != X)),Pattern 4.1: Universality - Globally
29,"If b holds then, in the next step, c holds until a holds or always c holds.",AG((b -> AX((c U a) | AG(c)))),Pattern 6.1: Response - Globally
30,"If b holds at some point, a has to hold somewhere beforehand.",EG(b) -> A(!b U (a & !b)),Pattern 5.1: Precedence - Globally
31,"One of the following aps will hold at all instances: a,b,c.",AG((a | b | c)),Pattern 4.1: Universality - Globally
32,Possibly the system never goes down.,EG(!down),Pattern 1.1: Absence - Globally
33,Invariantly the system never goes down.,AG(!down),Pattern 1.1: Absence - Globally
34,It is always possible to start as new.,AG(EF(startNew)),Pattern 4.1: Universality - Globally
35,The system always eventually goes down and is operational until going down.,AG((A(operational U down)) & AF(down)),combination of 4.5 and 2.1
36,A floor door is never open if the cabin is not present at the given floor.,AG(!at(i) -> !doorOpen(i)),Pattern 4.1: Universality - Globally
37,"Each time a button is pressed, there is a corresponding request that needs to be memorized until fulfillment (if ever).",AG(button(i) -> (request(i) W fulfilled(i))),Pattern 6.1: Response - Globally
38,The elevator only services the requested floors and does not move when there is no request.,AG(moving -> E(request(i))),Pattern 6.1: Response - Globally
39,All requests are eventually satisfied.,AG(request(i) -> AF(fulfilled(i))),Pattern 6.1: Response - Globally
40,Any call from a floor will be served at some point.,AG(button(i) -> F(fulfilled(i))),Pattern 6.1: Response - Globally
41,"At any time, the elevator will eventually return to floor 0.",AF(at(0)),Pattern 2.1: Existence - Globally
42,"When the top floor is called, the elevator serves it immediately and does not stop at the intermediate floors.",A (button(n-1) -> (!at(i) U at(n-1))),Pattern 5.1: Precedence - Globally
43,The program is not deadlock free.,AG(!deadlock),Pattern 1.1: Absence - Globally
44,p occurs at least once in the sequence.,EF(p),Pattern 2.1: Existence - Globally
45,Any occurrence of p in the sequence is immediately followed by an occurrence of r.,AG(p -> Xr),Pattern 6.1: Response - Globally
46,p occurs only once in the sequence.,(!p) U (p & XG(!p)),Pattern 3.1: Bounded Existence - Globally
